SampleID	Cytokine	value	region
KG04.7.mos	IL.12p70	0.0525757990464834	Plasma
KG56.7.mos	IL.12p70	0.0490164778567215	Plasma
KT85.7.mos	IL.12p70	0.0521204851078362	Plasma
JL80	IL.12p70	4.38	Plasma
JT67	IL.12p70	3.56	Plasma
KB32	IL.12p70	3.78	Plasma
KC93	IL.12p70	2.19	Plasma
KF04	IL.12p70	4.12	Plasma
KI63	IL.12p70	1.86	Plasma
KA87	IL.12p70	1.98	Plasma
KC07	IL.12p70	0.34	Plasma
JF27	IL.12p70	1.08	Plasma
JF82	IL.12p70	0.96	Plasma
JM03	IL.12p70	0.58	Plasma
JN22	IL.12p70	0.75	Plasma
JP70	IL.12p70	0.49	Plasma
JT22	IL.12p70	4.18	Plasma
JT94	IL.12p70	9.28	Plasma
JI14	IL.12p70	1.98	Plasma
JJ55	IL.12p70	2.95	Plasma
CK62	IL.12p70	2.19	Plasma
DD23	IL.12p70	1.58	Plasma
EF54	IL.12p70	0.58	Plasma
DF53	IL.12p70	4.32	Plasma
CM82	IL.12p70	1.9	Plasma
CR98	IL.12p70	2.47	Plasma
DB57	IL.12p70	3.5	Plasma
CE15	IL.12p70	2.59	Plasma
DB59	IL.12p70	5.31	Plasma
IK28	IL.12p70	1	Plasma
EB25	IL.12p70	0.91	Plasma
EA49	IL.12p70	0.79	Plasma
EC72	IL.12p70	2.17	Plasma
M148.d0	IL.12p70	1.54	Plasma
P081.d0	IL.12p70	3.3	Plasma
M148.d31	IL.12p70	20.75	Plasma
P081.d31	IL.12p70	6.29	Plasma
AH74.d48	IL.12p70	3.34	Plasma
DI57.d48	IL.12p70	6.46	Plasma
T657.d48	IL.12p70	6.92	Plasma
P519.d48	IL.12p70	1.66	Plasma
AH74.d0	IL.12p70	1.88	Plasma
DI57.d0	IL.12p70	6.92	Plasma
T657.d0	IL.12p70	1.14	Plasma
P519.d0	IL.12p70	2.83	Plasma
IA66.d0	IL.13	3.45	Plasma
KF35.d0	IL.13	0.62	Plasma
KG04.d0	IL.13	0.0185313097125673	Plasma
KG56.d0	IL.13	0.0257669752925892	Plasma
KT85.d0	IL.13	0.0259817908620993	Plasma
KV82.d0	IL.13	0.00019442246439291	Plasma
IA66.d35	IL.13	0.0228347787034842	Plasma
KF35.d35	IL.13	2.4	Plasma
KG04.d35	IL.13	0.0026669942492015	Plasma
KG56.d35	IL.13	0.11	Plasma
KT85.d35	IL.13	0.3	Plasma
KV82.d35	IL.13	0.11	Plasma
IA66.d125	IL.13	1.63	Plasma
KF35.d97	IL.13	1.86	Plasma
KG04.d125	IL.13	0.0100405465157608	Plasma
KG56.d125	IL.13	0.4	Plasma
KT85.d125	IL.13	1.12	Plasma
KV82.d125	IL.13	0.0261328529536874	Plasma
IA66.10.mos	IL.13	5.9	Plasma
KF35.10.mos	IL.13	2.12	Plasma
KG04.10.mos	IL.13	0.0208137058110591	Plasma
KG56.10.mos	IL.13	0.42	Plasma
KT85.10.mos	IL.13	1.32	Plasma
KV82.10.mos	IL.13	0.00694391288958003	Plasma
MRN	IL.13	1.65	Plasma
M87	IL.13	3.6	Plasma
DF59	IL.13	0.00376561506873894	Plasma
